16,18,18,18,17,17,16,17,17,16,17,16,17,16,15,16
16,18,19,18,20,20,19,20,20,17,17,17,17,17,15,15
16,16,17,16,17,17,16,16,16,16,16,16,16,16,16,16
19,18,19,19,20,18,18,18,18,18,18,17,16,16,15,22
16,17,16,16,17,16,16,17,17,17,16,16,15,18,15,18
18,18,19,20,17,19,19,18,18,17,17,16,17,20,16,19
16,15,18,17,17,16,16,16,17,16,16,16,16,17,16,15
17,16,17,17,19,18,17,18,17,17,17,16,19,18,16,18
16,16,16,17,17,16,16,16,16,17,16,16,17,16,16,16
16,16,17,17,20,15,15,16,17,17,17,17,19,16,16,15
16,16,18,16,17,18,15,16,16,16,16,17,16,16,16,15
16,17,17,16,19,16,17,17,16,18,18,17,17,18,16,18
16,17,16,16,16,16,16,16,17,16,17,16,15,16,16,16
16,16,17,17,16,16,16,18,16,17,17,17,16,17,18,17
16,16,16,17,15,17,16,16,16,16,16,16,16,17,16,16
16,16,17,18,16,16,16,17,17,16,16,17,16,18,17,16
